threshold,sens_mean,sens_sd,sens_lo,sens_hi,spec_mean,spec_sd,spec_lo,spec_hi
0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.01,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.02,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.03,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.04,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.05,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.06,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.07,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.08,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.09,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.11,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.12,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.13,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.14,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.15,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.16,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.17,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.18,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.19,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.21,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.22,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.23,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.24,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.25,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.26,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.27,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.28,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.29,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.31,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.32,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.33,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.34,1.0,0.0,1.0,1.0,0.06685621129645455,0.04504120690981776,0.0,0.16666666666666666
0.35000000000000003,1.0,0.0,1.0,1.0,0.16620267594098964,0.06827045914265539,0.04,0.30775862068965515
0.36,0.9510420716798738,0.04883912287587502,0.8333333333333334,1.0,0.2989039749077227,0.08264945125413846,0.14695378151260505,0.4642857142857143
0.37,0.9046005729070616,0.06380107287612413,0.7618571428571428,1.0,0.2989039749077227,0.08264945125413846,0.14695378151260505,0.4642857142857143
0.38,0.8127001681664139,0.08587154067904937,0.6314144736842106,0.96,0.5662623878651425,0.08936195774527558,0.39285714285714285,0.7353900255754475
0.39,0.8127001681664139,0.08587154067904937,0.6314144736842106,0.96,0.6312438716559771,0.08962306635746568,0.45447214076246334,0.8064516129032258
0.4,0.767886593635946,0.09359452504763024,0.5712732919254658,0.9411764705882353,0.6986881549040694,0.08529178458260833,0.519962962962963,0.8622914349276972
0.41000000000000003,0.7239765400945052,0.09626499192777364,0.5383333333333333,0.9,0.730524596084702,0.0819403415477321,0.5651494565217391,0.8857936507936507
0.42,0.633543258408263,0.10142276047356308,0.43478260869565216,0.8181818181818182,0.730524596084702,0.0819403415477321,0.5651494565217391,0.8857936507936507
0.43,0.5863907168165864,0.1084356872654753,0.3808035714285714,0.7916666666666666,0.730524596084702,0.0819403415477321,0.5651494565217391,0.8857936507936507
0.44,0.4514311311925451,0.10739452230777027,0.25,0.6666666666666666,0.730524596084702,0.0819403415477321,0.5651494565217391,0.8857936507936507
0.45,0.4514311311925451,0.10739452230777027,0.25,0.6666666666666666,0.730524596084702,0.0819403415477321,0.5651494565217391,0.8857936507936507
0.46,0.4514311311925451,0.10739452230777027,0.25,0.6666666666666666,0.730524596084702,0.0819403415477321,0.5651494565217391,0.8857936507936507
0.47000000000000003,0.4072443178468953,0.10343570964553385,0.21026315789473685,0.6086956521739131,0.8624003047215995,0.06335803304408778,0.72,0.967741935483871
0.48,0.4072443178468953,0.10343570964553385,0.21026315789473685,0.6086956521739131,0.8624003047215995,0.06335803304408778,0.72,0.967741935483871
0.49,0.4072443178468953,0.10343570964553385,0.21026315789473685,0.6086956521739131,0.8960921081693971,0.055550095744389995,0.7714285714285715,1.0
0.5,0.36272305792540693,0.10210468291064162,0.16666666666666666,0.5714285714285714,0.8960921081693971,0.055550095744389995,0.7714285714285715,1.0
0.51,0.31591744399561583,0.10023737407745138,0.13029891304347826,0.5238095238095238,0.8960921081693971,0.055550095744389995,0.7714285714285715,1.0
0.52,0.31591744399561583,0.10023737407745138,0.13029891304347826,0.5238095238095238,0.9305336762312905,0.04657874534134451,0.8235294117647058,1.0
0.53,0.2716085104142713,0.0980224837416019,0.0908102766798419,0.47619047619047616,0.9305336762312905,0.04657874534134451,0.8235294117647058,1.0
0.54,0.22621656029409729,0.0912580792144053,0.05555555555555555,0.42105263157894735,0.9305336762312905,0.04657874534134451,0.8235294117647058,1.0
