threshold,sens_mean,sens_sd,sens_lo,sens_hi,spec_mean,spec_sd,spec_lo,spec_hi
0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.01,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.02,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.03,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.04,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.05,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.06,1.0,0.0,1.0,1.0,0.3408022922301473,0.20890220885853047,0.0,0.75
0.07,1.0,0.0,1.0,1.0,0.3408022922301473,0.20890220885853047,0.0,0.75
0.08,1.0,0.0,1.0,1.0,0.501875918559285,0.2189192183951929,0.0,1.0
0.09,1.0,0.0,1.0,1.0,0.501875918559285,0.2189192183951929,0.0,1.0
0.1,1.0,0.0,1.0,1.0,0.501875918559285,0.2189192183951929,0.0,1.0
0.11,1.0,0.0,1.0,1.0,0.501875918559285,0.2189192183951929,0.0,1.0
0.12,1.0,0.0,1.0,1.0,0.501875918559285,0.2189192183951929,0.0,1.0
0.13,1.0,0.0,1.0,1.0,0.501875918559285,0.2189192183951929,0.0,1.0
0.14,1.0,0.0,1.0,1.0,0.501875918559285,0.2189192183951929,0.0,1.0
0.15,0.9003265651015651,0.10289222588594449,0.6666666666666666,1.0,0.6682654770079618,0.21232029440213865,0.2,1.0
0.16,0.9003265651015651,0.10289222588594449,0.6666666666666666,1.0,0.6682654770079618,0.21232029440213865,0.2,1.0
0.17,0.9003265651015651,0.10289222588594449,0.6666666666666666,1.0,0.6682654770079618,0.21232029440213865,0.2,1.0
0.18,0.9003265651015651,0.10289222588594449,0.6666666666666666,1.0,0.6682654770079618,0.21232029440213865,0.2,1.0
0.19,0.9003265651015651,0.10289222588594449,0.6666666666666666,1.0,0.6682654770079618,0.21232029440213865,0.2,1.0
0.2,0.9003265651015651,0.10289222588594449,0.6666666666666666,1.0,0.6682654770079618,0.21232029440213865,0.2,1.0
0.21,0.9003265651015651,0.10289222588594449,0.6666666666666666,1.0,0.6682654770079618,0.21232029440213865,0.2,1.0
0.22,0.9003265651015651,0.10289222588594449,0.6666666666666666,1.0,0.6682654770079618,0.21232029440213865,0.2,1.0
0.23,0.9003265651015651,0.10289222588594449,0.6666666666666666,1.0,0.6682654770079618,0.21232029440213865,0.2,1.0
0.24,0.9003265651015651,0.10289222588594449,0.6666666666666666,1.0,0.6682654770079618,0.21232029440213865,0.2,1.0
0.25,0.9003265651015651,0.10289222588594449,0.6666666666666666,1.0,0.6682654770079618,0.21232029440213865,0.2,1.0
0.26,0.9003265651015651,0.10289222588594449,0.6666666666666666,1.0,0.8336495752076909,0.16581378337750913,0.5,1.0
0.27,0.9003265651015651,0.10289222588594449,0.6666666666666666,1.0,0.8336495752076909,0.16581378337750913,0.5,1.0
0.28,0.9003265651015651,0.10289222588594449,0.6666666666666666,1.0,0.8336495752076909,0.16581378337750913,0.5,1.0
0.29,0.9003265651015651,0.10289222588594449,0.6666666666666666,1.0,0.8336495752076909,0.16581378337750913,0.5,1.0
0.3,0.9003265651015651,0.10289222588594449,0.6666666666666666,1.0,0.8336495752076909,0.16581378337750913,0.5,1.0
0.31,0.9003265651015651,0.10289222588594449,0.6666666666666666,1.0,0.8336495752076909,0.16581378337750913,0.5,1.0
0.32,0.9003265651015651,0.10289222588594449,0.6666666666666666,1.0,0.8336495752076909,0.16581378337750913,0.5,1.0
0.33,0.9003265651015651,0.10289222588594449,0.6666666666666666,1.0,0.8336495752076909,0.16581378337750913,0.5,1.0
0.34,0.9003265651015651,0.10289222588594449,0.6666666666666666,1.0,0.8336495752076909,0.16581378337750913,0.5,1.0
0.35000000000000003,0.9003265651015651,0.10289222588594449,0.6666666666666666,1.0,0.8336495752076909,0.16581378337750913,0.5,1.0
0.36,0.9003265651015651,0.10289222588594449,0.6666666666666666,1.0,0.8336495752076909,0.16581378337750913,0.5,1.0
0.37,0.9003265651015651,0.10289222588594449,0.6666666666666666,1.0,0.8336495752076909,0.16581378337750913,0.5,1.0
0.38,0.9003265651015651,0.10289222588594449,0.6666666666666666,1.0,0.8336495752076909,0.16581378337750913,0.5,1.0
0.39,0.9003265651015651,0.10289222588594449,0.6666666666666666,1.0,0.8336495752076909,0.16581378337750913,0.5,1.0
0.4,0.9003265651015651,0.10289222588594449,0.6666666666666666,1.0,0.8336495752076909,0.16581378337750913,0.5,1.0
0.41000000000000003,0.9003265651015651,0.10289222588594449,0.6666666666666666,1.0,0.8336495752076909,0.16581378337750913,0.5,1.0
0.42,0.9003265651015651,0.10289222588594449,0.6666666666666666,1.0,0.8336495752076909,0.16581378337750913,0.5,1.0
0.43,0.9003265651015651,0.10289222588594449,0.6666666666666666,1.0,0.8336495752076909,0.16581378337750913,0.5,1.0
0.44,0.9003265651015651,0.10289222588594449,0.6666666666666666,1.0,0.8336495752076909,0.16581378337750913,0.5,1.0
0.45,0.9003265651015651,0.10289222588594449,0.6666666666666666,1.0,0.8336495752076909,0.16581378337750913,0.5,1.0
0.46,0.9003265651015651,0.10289222588594449,0.6666666666666666,1.0,0.8336495752076909,0.16581378337750913,0.5,1.0
0.47000000000000003,0.9003265651015651,0.10289222588594449,0.6666666666666666,1.0,0.8336495752076909,0.16581378337750913,0.5,1.0
0.48,0.9003265651015651,0.10289222588594449,0.6666666666666666,1.0,0.8336495752076909,0.16581378337750913,0.5,1.0
