threshold,sens_mean,sens_sd,sens_lo,sens_hi,spec_mean,spec_sd,spec_lo,spec_hi
0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.01,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.02,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.03,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.04,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.05,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.06,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.07,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.08,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.09,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.11,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.12,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.13,1.0,0.0,1.0,1.0,0.10223764413690917,0.10031772195676115,0.0,0.3333333333333333
0.14,1.0,0.0,1.0,1.0,0.10223764413690917,0.10031772195676115,0.0,0.3333333333333333
0.15,1.0,0.0,1.0,1.0,0.10223764413690917,0.10031772195676115,0.0,0.3333333333333333
0.16,1.0,0.0,1.0,1.0,0.10223764413690917,0.10031772195676115,0.0,0.3333333333333333
0.17,1.0,0.0,1.0,1.0,0.10223764413690917,0.10031772195676115,0.0,0.3333333333333333
0.18,1.0,0.0,1.0,1.0,0.10223764413690917,0.10031772195676115,0.0,0.3333333333333333
0.19,1.0,0.0,1.0,1.0,0.20740195951279589,0.131192199667949,0.0,0.5
0.2,1.0,0.0,1.0,1.0,0.3042226183216513,0.15007130711671074,0.0,0.625
0.21,1.0,0.0,1.0,1.0,0.3042226183216513,0.15007130711671074,0.0,0.625
0.22,1.0,0.0,1.0,1.0,0.3042226183216513,0.15007130711671074,0.0,0.625
0.23,1.0,0.0,1.0,1.0,0.3042226183216513,0.15007130711671074,0.0,0.625
0.24,1.0,0.0,1.0,1.0,0.3042226183216513,0.15007130711671074,0.0,0.625
0.25,1.0,0.0,1.0,1.0,0.3042226183216513,0.15007130711671074,0.0,0.625
