threshold,sens_mean,sens_sd,sens_lo,sens_hi,spec_mean,spec_sd,spec_lo,spec_hi
0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.01,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.02,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.03,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.04,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.05,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.06,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.07,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.08,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.09,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.1,1.0,0.0,1.0,1.0,0.009809687905254934,0.009674434211432797,0.0,0.030927835051546393
0.11,1.0,0.0,1.0,1.0,0.040451642229839574,0.01997508600922984,0.009706404032860343,0.08421052631578947
0.12,1.0,0.0,1.0,1.0,0.071421666178797,0.0257408334855368,0.020618556701030927,0.125
0.13,1.0,0.0,1.0,1.0,0.08114327018519649,0.027456657933702625,0.030927835051546393,0.13861386138613863
0.14,1.0,0.0,1.0,1.0,0.09150600835193222,0.02890737895503159,0.04040404040404041,0.15053763440860216
0.15,1.0,0.0,1.0,1.0,0.131741042820519,0.03385335367402904,0.06725543478260869,0.20202288845905866
0.16,1.0,0.0,1.0,1.0,0.1515316256581802,0.03576749851672128,0.08080808080808081,0.22224919093851128
0.17,1.0,0.0,1.0,1.0,0.16115073278261785,0.036564646412838374,0.09183673469387756,0.2353395997574287
0.18,1.0,0.0,1.0,1.0,0.1718746525189209,0.03759051473780635,0.09900990099009901,0.25
0.19,1.0,0.0,1.0,1.0,0.21278972468556034,0.040614073930466614,0.13131313131313133,0.297029702970297
0.2,1.0,0.0,1.0,1.0,0.23270062119047755,0.04192437655894978,0.1546193497224425,0.32
0.21,1.0,0.0,1.0,1.0,0.29318267776189777,0.044635527140481426,0.2079207920792079,0.38616256786969017
0.22,1.0,0.0,1.0,1.0,0.32318726093531214,0.04605413246635963,0.23326923076923078,0.4184081632653061
