threshold,sens_mean,sens_sd,sens_lo,sens_hi,spec_mean,spec_sd,spec_lo,spec_hi
0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.01,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.02,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.03,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.04,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.05,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.06,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.07,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.08,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.09,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.11,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.12,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.13,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.14,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.15,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.16,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.17,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.18,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.19,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.21,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.22,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.23,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.24,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.25,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.26,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.27,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.28,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.29,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.31,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.32,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.33,0.9722912696395458,0.027261737895054376,0.9117647058823529,1.0,0.0,0.0,0.0,0.0
0.34,0.9440290088963819,0.03959588568987246,0.8529411764705882,1.0,0.0,0.0,0.0,0.0
0.35000000000000003,0.9440290088963819,0.03959588568987246,0.8529411764705882,1.0,0.0,0.0,0.0,0.0
0.36,0.9440290088963819,0.03959588568987246,0.8529411764705882,1.0,0.0,0.0,0.0,0.0
0.37,0.9440290088963819,0.03959588568987246,0.8529411764705882,1.0,0.0,0.0,0.0,0.0
0.38,0.9440290088963819,0.03959588568987246,0.8529411764705882,1.0,0.0,0.0,0.0,0.0
0.39,0.9440290088963819,0.03959588568987246,0.8529411764705882,1.0,0.0,0.0,0.0,0.0
0.4,0.9153273589125248,0.04723126322610099,0.8108108108108109,1.0,0.6509259259259252,0.30784077624383677,0.0,1.0
0.41000000000000003,0.9153273589125248,0.04723126322610099,0.8108108108108109,1.0,0.6509259259259252,0.30784077624383677,0.0,1.0
0.42,0.9153273589125248,0.04723126322610099,0.8108108108108109,1.0,0.6509259259259252,0.30784077624383677,0.0,1.0
0.43,0.8873226604677756,0.05307497684097165,0.7777777777777778,0.9722222222222222,0.6509259259259252,0.30784077624383677,0.0,1.0
0.44,0.8873226604677756,0.05307497684097165,0.7777777777777778,0.9722222222222222,0.6509259259259252,0.30784077624383677,0.0,1.0
0.45,0.8873226604677756,0.05307497684097165,0.7777777777777778,0.9722222222222222,0.6509259259259252,0.30784077624383677,0.0,1.0
0.46,0.8873226604677756,0.05307497684097165,0.7777777777777778,0.9722222222222222,0.6509259259259252,0.30784077624383677,0.0,1.0
0.47000000000000003,0.8873226604677756,0.05307497684097165,0.7777777777777778,0.9722222222222222,0.6509259259259252,0.30784077624383677,0.0,1.0
0.48,0.8873226604677756,0.05307497684097165,0.7777777777777778,0.9722222222222222,0.6509259259259252,0.30784077624383677,0.0,1.0
0.49,0.8873226604677756,0.05307497684097165,0.7777777777777778,0.9722222222222222,0.6509259259259252,0.30784077624383677,0.0,1.0
0.5,0.8873226604677756,0.05307497684097165,0.7777777777777778,0.9722222222222222,0.6509259259259252,0.30784077624383677,0.0,1.0
0.51,0.8873226604677756,0.05307497684097165,0.7777777777777778,0.9722222222222222,0.6509259259259252,0.30784077624383677,0.0,1.0
0.52,0.8873226604677756,0.05307497684097165,0.7777777777777778,0.9722222222222222,0.6509259259259252,0.30784077624383677,0.0,1.0
0.53,0.8873226604677756,0.05307497684097165,0.7777777777777778,0.9722222222222222,0.6509259259259252,0.30784077624383677,0.0,1.0
0.54,0.8014282738004596,0.06805081739270807,0.6666666666666666,0.9411764705882353,0.6509259259259252,0.30784077624383677,0.0,1.0
0.55,0.8014282738004596,0.06805081739270807,0.6666666666666666,0.9411764705882353,0.6509259259259252,0.30784077624383677,0.0,1.0
0.56,0.8014282738004596,0.06805081739270807,0.6666666666666666,0.9411764705882353,0.6509259259259252,0.30784077624383677,0.0,1.0
0.5700000000000001,0.8014282738004596,0.06805081739270807,0.6666666666666666,0.9411764705882353,0.6509259259259252,0.30784077624383677,0.0,1.0
